UID,Clear ID,Grade,Flesch Kincaid,Text,Sentence Score,Sentence Score Rationale,Vocabulary Score,Vocabulary Score Rationale,Tier 2 Words,Tier 3 Words,Archaic Words,Other Complex Words,Background Knowledge Assumption
949,7394,4,8.33,"Carbohydrates are the main supply of energy for our bodies. They break down in our digestive system to form glucose (which is a sugar). Examples of foods that contain carbohydrates are: whole grain bread, potatoes, pasta, rice, fruit, vegetables, maize and legumes. Unfortunately many people eat too many carbohydrates, especially processed carbohydrates like sweets and biscuits, chips, pastries, soft drinks and sweetened fruit juices.
Fats and oils are important for many body processes:
• Fat protects and insulates your organs
• They help maintaining healthy hair and nails.
• Some vitamins can only be absorbed and transported when attached to fat molecules.
• Fats and oils also provide the body with energy.
However, some fats are better than others and having too much of any type is not a good idea. Vitamins help with the different chemical reactions in our bodies:
• vitamin A helps strengthen our immune system and is good for eyesight in the dark
• B vitamins help us process energy from food
• vitamin C helps to keep your skin and gums healthy and improves the immune system
• vitamin D helps to build strong bones and teeth",slightly complex,"ss_annotator_1: Sentences are clear and appropriate in length and complexity. The use of colons may be lost on some, but the lists help make the reading manageable.
ss_annotator_2: There is not nearly enough rigor in the text structure here. Fourth grade is more capable of maintaining multiple concepts so that would be a barrier to learning. The simple sentences would stunt their interest.
ss_annotator_3: As stated above, there are mostly simple sentences, the complex sentences do not all have multiple concepts so I think it would be too easy for a fourth grader to comprehend.",moderately complex,"vocab_annotator_1: VCS: Even though there are more tier 3 complex words than Tier 2, I still rate this as moderately complex, because the tier 3 words are not critical to student comprehension. Even if a student can't infer the definition of unknown complex vocab words, she could still understand the central idea of this text.
vocab_annotator_2: This passage is excellent for fourth-graders, in that it is laid out simply, the vocabulary is not too complex and easily explained, and the examples given are accessible to grasp.
vocab_annotator_3: too many challenging and scientific words","absorbed, attached, contain, digestive, energy, immune, improves, insulates, legumes, maintaining, maize, processed, processes, provide, strengthen, transported, unfortunately, vitamins","b vitamins, carbohydrates, chemical reactions, digestive system, glucose, immune system, molecules, vitamin a, vitamin c, vitamin d",maize,biscuits,"Students are likely familiar with basic nutrition concepts, such as the role of carbohydrates, fats, and vitamins in the body, but may not be familiar with the detailed functions of specific vitamins or the distinction between different types of fats."
950,7413,3,6.59,"Dear Mr. Morse:
It was very pleasant to me to get a letter from you the other day. Perhaps I should have found it pleasanter if I had been able to decipher it. I don't think that I mastered anything beyond the date (which I knew) and the signature (at which I guessed).
There's a singular and perpetual charm in a letter of yours—it never grows old; it never loses its novelty. One can say to one's self every morning: ""There's that letter of Morse's. I haven't read it yet. I think I'll take another shy at it today, and maybe I shall be able in the course of a few days to make out what he means by those t's that look like w's, and those i's that haven't any eyebrows.""
Other letters are read, and thrown away, and forgotten; but yours are kept forever—unread. One of them will last a reasonable man a lifetime.
Admiringly yours, T.B. Aldrich.",very complex,"ss_annotator_1: Sentences would be difficult for a 3rd grader . There are a couple of very long, complex sentences and the use of quotes, parenthesis, colons, lots of commas - too much.
ss_annotator_2: The text structure is fairly basic, but I do think the additional clauses and structure offer more depth to the message and emotions of the writer. The letter structure is also a structure of text that is appropriate for third grade.
ss_annotator_3: There are an evenly distributed amount of simple and complex/compound sentences as well as single concept/multi-concept sentences. This makes it challenging, yet still appropriate for third grade.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
951,7413,4,6.59,"Dear Mr. Morse:
It was very pleasant to me to get a letter from you the other day. Perhaps I should have found it pleasanter if I had been able to decipher it. I don't think that I mastered anything beyond the date (which I knew) and the signature (at which I guessed).
There's a singular and perpetual charm in a letter of yours—it never grows old; it never loses its novelty. One can say to one's self every morning: ""There's that letter of Morse's. I haven't read it yet. I think I'll take another shy at it today, and maybe I shall be able in the course of a few days to make out what he means by those t's that look like w's, and those i's that haven't any eyebrows.""
Other letters are read, and thrown away, and forgotten; but yours are kept forever—unread. One of them will last a reasonable man a lifetime.
Admiringly yours, T.B. Aldrich.",moderately complex,"ss_annotator_1: Although it is written as a letter and 4th graders are familiar with a letter format, some of the sentences are long and complex with punctuation that will throw off the reader.
ss_annotator_2: This text structure would be too simple. There are some complexities in structure and slightly with concepts but it would need more than what is presented. Fourth is also more familiar with letter writing structure so it would not pose any challenge.
ss_annotator_3: While I believe that there are a lot of simple/single concept sentences, there are some sentences that are challenging thus making it appropriate for the fourth grade.",moderately complex,"vocab_annotator_1: VCS: In order to understand that it is the uniqueness of the letters that makes them so special to the writer, one has to grasp a few critical tier 2 words. These tier 2 words play such an important part in the accurate comprehension of this text's central idea, that I rated this ""very complex""
vocab_annotator_2: This passage uses language that is completely archaic and clumsy, not to mention pointless. There is no point to it, and will only bore the student to infinity.
vocab_annotator_3: A fourth grader should be able to comprehend this letter without very much difficulty.","beyond, course, decipher, make out, mastered, novelty, perpetual, pleasant, reasonable, signature, singular",decipher,"another shy at it, pleasanter, shy, very pleasant to me","at which i guessed, one's self, pleasanter","Students are likely familiar with basic letter writing and communication, but may not be familiar with the historical context or specific individuals like T.B. Aldrich and Mr. Morse."
952,7448,3,6.47,"Acceleration is a measure of how fast velocity changes. Acceleration is the change of velocity divided by the change of time. Acceleration is a vector, and therefore includes both a size and a direction. An object was moving north at 10 meters per second. The object speeds up and now is moving north at 15 meters per second. The object has accelerated.
An apple is falling down. It starts falling at 0 meters per second. At the end of the first second, the apple is moving at 9.8 meters per second. The apple has accelerated. At the end of the second second, the apple is moving down at 19.6 meters per second. The apple has accelerated again.
Jane is walking east at 3 kilometers per hour. Jane's velocity does not change. Jane's acceleration is zero.
Tom was walking east at 3 kilometers per hour. Tom turns and walks south at 3 kilometers per hour. Tom has had a nonzero acceleration.
Sally was walking east at 3 kilometers per hour. Sally slows down. After, Sally walks east at 1.5 kilometers per hour. Sally has had a nonzero acceleration.",moderately complex,"ss_annotator_1: The sentences are generally simple sentences.
ss_annotator_2: This text structure is too simple in all ways for third and fourth. While reading it, the flow would be too choppy and that could inhibit their interest and focus. Students would benefit from additional concepts being added to deepen the meaning of the sentence. The transitions are predictable and too simple as well. It has a simple  and uninspiring text structure.
ss_annotator_3: There are a lot of simple sentences and single concept sentences and very few compound/multi-concept sentences. The topic is a little challenging for a third grader that is why. I believe it is appropriate for them",not scored,not scored,not scored,not scored,not scored,not scored,not scored
953,7448,4,6.47,"Acceleration is a measure of how fast velocity changes. Acceleration is the change of velocity divided by the change of time. Acceleration is a vector, and therefore includes both a size and a direction. An object was moving north at 10 meters per second. The object speeds up and now is moving north at 15 meters per second. The object has accelerated.
An apple is falling down. It starts falling at 0 meters per second. At the end of the first second, the apple is moving at 9.8 meters per second. The apple has accelerated. At the end of the second second, the apple is moving down at 19.6 meters per second. The apple has accelerated again.
Jane is walking east at 3 kilometers per hour. Jane's velocity does not change. Jane's acceleration is zero.
Tom was walking east at 3 kilometers per hour. Tom turns and walks south at 3 kilometers per hour. Tom has had a nonzero acceleration.
Sally was walking east at 3 kilometers per hour. Sally slows down. After, Sally walks east at 1.5 kilometers per hour. Sally has had a nonzero acceleration.",slightly complex,"ss_annotator_1: Simple sentence that follow subject/verb agreement - appropriate and familiar to 4th graders.
ss_annotator_2: This text structure is too simple in all ways for third and fourth. While reading it, the flow would be too choppy and that could inhibit their interest and focus. Students would benefit from additional concepts being added to deepen the meaning of the sentence. The transitions are predictable and too simple as well. It has a simple  and uninspiring text structure.
ss_annotator_3: For the same reasons I believe that this is appropriate for a third grader, I believe it would be too easy for a fourth grader.",very complex,"vocab_annotator_1: VCS: I rated this exceedingly complex because I think that the complexity of the vocabulary does pose a significant challenge to comprehension. If students don't know that velocity means speed + direction, then they're not going to be able to understand the bulk of this text, despite the examples given. 
vocab_annotator_2: This passage would be more appropriate for older students. The use of the word ""kilometers"" would confuse American students, and the concepts are a bit abstract and difficult.
vocab_annotator_3: This passage seems to be a bit too complex for this fourth grader. The tier 2 and 3 words are relatively complex concepts.","accelerated, acceleration, change, direction, falling, moving, nonzero, object, slows, speeds, vector, velocity","acceleration, kilometers, kilometers per hour, meters per second, nonzero, vector, velocity",therefore,,"Students are likely familiar with basic concepts of motion and speed but may not be familiar with the concept of acceleration as a vector or the mathematical relationship between velocity, time, and acceleration."
954,7464,3,7.38,"Algae (one alga, but several algae) are a type of plant-like living things that can make food from sunlight by photosynthesis. The study of algae is called phycology or algology.
The term lumps together many different kinds of organisms. They have in common only that they are autotrophic: they use natural sources of energy and simple inorganic materials to build their forms. As non-vascular plants they do not have the kind of cell and tissue structure of land plants. They are a convenient but very loose term. Only in recent years has it become clear how different the many kinds of algae are.
Algae are a large and diverse group of simple, typically autotrophic organisms. Some have one cell and others have many cells. The largest and most complex marine algae are called seaweeds. They are like plants, and ""simple"" because they lack the many distinct organs found in land plants. For that reason they are not classified as plants.",moderately complex,"ss_annotator_1: This passage has simple, compound and complex sentences. Third grade would be more comfortable with simple to compound sentences.
ss_annotator_2: This structure has mainly simply complexity. There is very little creativity in the structure- subject- predicate. The small amount of structure and concept complexity helps add detail but it would need more. The repetitive style of each sentence is too basic. It could use some more depth. This is more appropriate for second grade.
ss_annotator_3: While half the sentences are simple, many contain multiple concepts making it difficult to follow, especially if the concept is unknown, as this is to third graders. Many sentences have multiple types of phrases and clauses within, making it challenging for a third grader.",very complex,"vocab_annotator_1: VCS: The density of Tier 3 words in this text poses significant challenges to comprehension for the average third-grade student reading on grade level. 
vocab_annotator_2: This passage is a bit too complex for third-graders, though not altogether impossible. With thorough review of vocabulary and concepts, students may eventually grasp it.
vocab_annotator_3: The passage would be very difficult for this student. There too many tier 3 words that the student will need to learn before being able to make sense of the material.","classified, convenient, distinct, diverse, energy, inorganic, loose, marine, natural sources, organisms, photosynthesis, recent, the study, typically","algae, algology, autotrophic, cell, inorganic, land plants, marine, non-vascular, non-vascular plants, organisms, photosynthesis, phycology, seaweeds, simple inorganic materials, simple org, tissue",,lumps together,Students are likely familiar with basic plant biology and photosynthesis but may not be familiar with the specific study of algae (phycology) or the classification differences between algae and land plants.
955,7464,4,7.38,"Algae (one alga, but several algae) are a type of plant-like living things that can make food from sunlight by photosynthesis. The study of algae is called phycology or algology.
The term lumps together many different kinds of organisms. They have in common only that they are autotrophic: they use natural sources of energy and simple inorganic materials to build their forms. As non-vascular plants they do not have the kind of cell and tissue structure of land plants. They are a convenient but very loose term. Only in recent years has it become clear how different the many kinds of algae are.
Algae are a large and diverse group of simple, typically autotrophic organisms. Some have one cell and others have many cells. The largest and most complex marine algae are called seaweeds. They are like plants, and ""simple"" because they lack the many distinct organs found in land plants. For that reason they are not classified as plants.",moderately complex,"ss_annotator_1: Simple, compound and complex sentences appropriate for this grade level. The sentences are not too long - which is helpful for 4th graders.
ss_annotator_2: For the same reasons as third, but even more so there are not nearly enough elements of text structure on any way that would get this passage close to the rigor of fourth grade.
ss_annotator_3: I believe that there is an even balance of easy and complex sentences in this passage, making it appropriate for grade 4.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
956,7468,3,8.87,"The American Civil War (1861–1865) was a civil war in the United States of America. It is sometimes called ""The War Between the States"". Eleven Southern states in which slavery was legal wanted to leave the United States of America. They formed the Confederate States of America, also called ""the Confederacy"". They wanted the Confederate States of America to be its own country, separate and independent from the United States. Jefferson Davis was chosen as president of the Confederacy. The U.S government and the states that remained loyal to it were called the Union. The Union is sometimes called ""the North"". Every state where slavery was illegal supported the Union. Most of these states were in the North. Five states where slavery was legal also supported the Union. These were called the ""border states"". War began on April 12, 1861 when Confederate forces attacked Fort Sumter held by a Union garrison.",slightly complex,"ss_annotator_1: Text is appropriate and short and direct. The sentences are factual and sequential which make it easier to follow.
ss_annotator_2: Right on for 3rd grade. Sentences are simple and straightforward.
ss_annotator_3: Many of the sentences are simple sentences with just one concept. They have just one clause or phrase, so the sentence structure is easy, but since the concepts are more challenging I believe that it is appropriate for the grade.",moderately complex,"vocab_annotator_1: Students would be able to access the gist of this text with light to medium scaffolds; vocab is not a insurmountable barrier to comprehension
 
vocab_annotator_2: This is a great passage for third-graders, in that the vocabulary is accessible and the concepts easy to grasp. The sentence structure is just right.
vocab_annotator_3: The content and the vocabulary will likely prevent this student from learning this material.","attacked, border, confederate, illegal, independent, independent. separate, loyal, separate, supported","border states, confederacy, confederate, garrison, union",,"civil war, confederate states, confederate states of america, fort sumter, southern, the union","Students are likely familiar with the basic concept of the Civil War and its significance in U.S. history, but may not be familiar with specific details such as the role of border states or the attack on Fort Sumter."
957,7468,4,8.87,"The American Civil War (1861–1865) was a civil war in the United States of America. It is sometimes called ""The War Between the States"". Eleven Southern states in which slavery was legal wanted to leave the United States of America. They formed the Confederate States of America, also called ""the Confederacy"". They wanted the Confederate States of America to be its own country, separate and independent from the United States. Jefferson Davis was chosen as president of the Confederacy. The U.S government and the states that remained loyal to it were called the Union. The Union is sometimes called ""the North"". Every state where slavery was illegal supported the Union. Most of these states were in the North. Five states where slavery was legal also supported the Union. These were called the ""border states"". War began on April 12, 1861 when Confederate forces attacked Fort Sumter held by a Union garrison.",slightly complex,"ss_annotator_1: Appropriate for this grade at an independent level. By this age, they should be able to handle the sentence structure well.
ss_annotator_2: Might be  more appropriate for 3rd grade as the sentences are simple and there isn't a lot of sentence structure variety. 
I think it is a good fit for 4th grade too for the same reasons.
ss_annotator_3: For the same reasons that I think that it is appropriate for a third grader, I also believe that it is appropriate for a fourth grader.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
958,7473,3,7.75,"It was Bede who identified the invaders as Angles, Saxons and Jutes. But he sometimes used the names Angli and Saxones for the same people in different parts of his writings. In Book I, Chapter 15 he said that by invitation of King Vortigern ""Angles or Saxons"" came to Britain in three longships. Modern authorities confirm that Angles, Saxons, Frisians and some Jutes did come to England during this migration time period. The differences in England between tribes of Angles and Saxons was not significant. Kent was different in culture from other parts of England, and was home to Jutes. But Kent had later contact with the regions they had come from in Europe and that could explain some of the differences.
Certain styles of jewellery are recognized by archaeologists as being typical of Anglian, Saxon and Jutish areas in Northern Europe. But why the name England came to be used for the country and English for the language is not clear. In Old English the people call themselves Engle. In Latin it was Angli. Nothing suggests the Angles made up a larger percentage of the Germanic peoples.",very complex,"ss_annotator_1: Some sentences may be challenging due to the different clauses that are in the sentences.
ss_annotator_2: Many of the sentences are too long for a 3rd grader's readability. Many compound and complex sentences make it difficult for 3rd graders.
ss_annotator_3: These sentences have relative clauses, independent and dependent clauses and contain content that is well above a third graders ability.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
959,7473,4,7.75,"It was Bede who identified the invaders as Angles, Saxons and Jutes. But he sometimes used the names Angli and Saxones for the same people in different parts of his writings. In Book I, Chapter 15 he said that by invitation of King Vortigern ""Angles or Saxons"" came to Britain in three longships. Modern authorities confirm that Angles, Saxons, Frisians and some Jutes did come to England during this migration time period. The differences in England between tribes of Angles and Saxons was not significant. Kent was different in culture from other parts of England, and was home to Jutes. But Kent had later contact with the regions they had come from in Europe and that could explain some of the differences.
Certain styles of jewellery are recognized by archaeologists as being typical of Anglian, Saxon and Jutish areas in Northern Europe. But why the name England came to be used for the country and English for the language is not clear. In Old English the people call themselves Engle. In Latin it was Angli. Nothing suggests the Angles made up a larger percentage of the Germanic peoples.",very complex,"ss_annotator_1: This text would be appropriate for a 4th grader because the sentence structure is manageable for this age. Students should b able to follow the passage independently with little to no support
ss_annotator_2: A number of compound and complex sentences that are longer in length make this moderately complex for 4th graders.
ss_annotator_3: For the same reasons this text is far too complex for a third grader it is similarly too complex for a fourth grader.",very complex,"vocab_annotator_1: Students would be able to access the gist of this text with light to medium scaffolds; vocab may be a insurmountable barrier to comprehension
 
vocab_annotator_2: Though students would need much review in vocabulary terms, this passage is accessible and moderately challenging without being too confusing. I believe it contains too much information and some information could be eliminated.
vocab_annotator_3: lots of archaic and otherwise complex language.","archaeologists, authorities, confirm, contact, identified, invaders, invitation, longships, migration, modern, percentage, recognized, regions, significant, tribes, typical","angles, angli and saxones, frisians, germanic, jutes, longships, saxons, saxons and jutes","angles, angli, archaeologists, engle, frisians, jutes, jutish, longships, saxones, saxons","bede, it was bede who, kent, king vortigern, latin, vortigern","Students are likely familiar with basic concepts of migration and cultural differences but may not be familiar with specific historical details about the Angles, Saxons, Jutes, and the formation of England."
960,7475,3,7.85,"Imagine that you have a test tomorrow that you need to study for. How much cognitive effort will you put in? Researchers have found that your behavior can be predicted by the calculation of the costs and benefits of studying. What might these costs and benefits be?
To keep it simple, we can say that the benefit of studying is to obtain a good grade. Obtaining a good grade is better for your final report, and you may just like getting good grades. An important cost has to do with the level of cognitive effort you must exert—to obtain a good grade, you will sometimes have to think harder.
Researchers describe your decision to use cognitive effort as a function of the potential benefits and costs. You could think of this as a math equation: the sum of costs and benefits results in a certain value. The more you value something, the more likely you are to put cognitive effort into it.",very complex,"ss_annotator_1: The text includes a mx of simple and compound sentences. Some of the ideas presented are abstract and may make comprehension challenging. Teacher support would be needed
ss_annotator_2: Sentences have too many words and there are a number of complex sentences - too much for. grade level.
ss_annotator_3: There are multiple complex sentences with multiple concepts. There are not any transitional words or phrases that help the children differentiate them.",very complex,"vocab_annotator_1: Students would be able to access the gist of this text with light to medium scaffolds; vocab is not a insurmountable barrier to comprehension
 
vocab_annotator_2: There are many words that have a different meaning in this text than what they may have already been exposed to. There are also very phonetically complex words that would require more advanced decoding skills. ""Cognitive Effort"" is way beyond the typical third grade student.
vocab_annotator_3: There are a lot of challengng words for 3rd grade. I wouldn;t say mostly challenging words, but enough for it to be too complex.","behavior, benefits, calculation, certain, cognitive, costs (usage), decision, describe, effort, equation, exert, function, imagine, obtain, potential, predicted, researchers, results, sum, value","cognitive effort, equation, exert, obtain, obtaining, potential, predicted, sum, value",,,"Students are likely familiar with the concept of studying for tests and the idea of costs and benefits in simple decision-making. They may not be familiar with the term ""cognitive effort"" or the idea of quantifying effort as a function of costs and benefits."
961,7475,4,7.85,"Imagine that you have a test tomorrow that you need to study for. How much cognitive effort will you put in? Researchers have found that your behavior can be predicted by the calculation of the costs and benefits of studying. What might these costs and benefits be?
To keep it simple, we can say that the benefit of studying is to obtain a good grade. Obtaining a good grade is better for your final report, and you may just like getting good grades. An important cost has to do with the level of cognitive effort you must exert—to obtain a good grade, you will sometimes have to think harder.
Researchers describe your decision to use cognitive effort as a function of the potential benefits and costs. You could think of this as a math equation: the sum of costs and benefits results in a certain value. The more you value something, the more likely you are to put cognitive effort into it.",slightly complex,"ss_annotator_1: This text is appropriate for this grade level because students at this age should be able to handle the sentence structures.
ss_annotator_2: Same reasons as above- sentences are long and there are too many complex sentences.
ss_annotator_3: While the sentences are complex they are at a level in which I believe 4th graders can determine meaning to.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
962,7490,3,7.73,"An atom is the basic unit that makes up all matter. There are many different types of atoms, each with its own name, mass and size. These different types of atoms are called chemical elements. The chemical elements are organized on the periodic table. Examples of elements are hydrogen and gold. Atoms are very small, but the exact size changes depending on the element. Atoms range from 0.1 to 0.5 nanometers in width. One nanometer is around 100,000 times smaller than the width of a human hair. This makes atoms impossible to see without special tools. Equations must be used to see the way they work and how they interact with other atoms.
Atoms come together to make molecules or particles: for example, two hydrogen atoms and one oxygen atom combine to make a water molecule, a form of a chemical reaction.",moderately complex,"ss_annotator_1: Sentence structures are mostly manageable for this age, but support may still ne be needed for abstract terms.
ss_annotator_2: Most of the sentences in this text are simple or compound. The majority have one concept , there are a few subordinate clauses , and even fewer transition words or phrases. Third graders have learned to write simple, compound, and complex sentences, so the majority of these sentences should pose little challenge for them. They use linking words and phrases in their own writing, similar to the ones used in this text. The only sentence that could push the text to Very Complex is sentence 11 because it contains 3 concepts and uses a colon, which they have not yet learned to use. The Flesch Kincaid scale places the text at the upper end of the 4th-5th grade band, most likely due to vocabulary (number of syllables per word).
ss_annotator_3: Many of these sentences are simple enough to determine meaning of but there are some challenges that may prove complex for a third grader. I believe that the concepts are simple enough for this to be appropriate for third grade.",very complex,"vocab_annotator_1: This requires a good deal of scaffolding in order to access the gist and meaning of this text - vocabulary may be a barrier to comprehension. Definitely a stretch text
vocab_annotator_2: Though complex in its subject matter and vocabulary, the passage is designed to fairly easily explain the concepts without losing the reader.
vocab_annotator_3: Lots of challenging words, including academic words","atom, basic, combine, depending, elements, equations, exact, impossible, interact, mass, organized, periodic, range, unit, width","chemical elements, chemical reaction, equations, hydrogen, molecules, nanometers, oxygen, particles, periodic table",,chemical reaction,"Students are likely familiar with basic concepts of matter and atoms, but may not be familiar with the periodic table, nanometers, or the specifics of chemical reactions."
963,7490,4,7.73,"An atom is the basic unit that makes up all matter. There are many different types of atoms, each with its own name, mass and size. These different types of atoms are called chemical elements. The chemical elements are organized on the periodic table. Examples of elements are hydrogen and gold. Atoms are very small, but the exact size changes depending on the element. Atoms range from 0.1 to 0.5 nanometers in width. One nanometer is around 100,000 times smaller than the width of a human hair. This makes atoms impossible to see without special tools. Equations must be used to see the way they work and how they interact with other atoms.
Atoms come together to make molecules or particles: for example, two hydrogen atoms and one oxygen atom combine to make a water molecule, a form of a chemical reaction.",moderately complex,"ss_annotator_1: Appropriate for this grade level. Student should be able to handle the sentence structures independently. Teacher may nee to provide support with some of the scientific terms to aid in comprehension.
ss_annotator_2: Since most of the sentences are simple or compound, fourth graders should also be able to read and comprehend the text easily, although the last sentence might prove challenging for some of them. They use linking words and phrases to connect categories of information, which is at a higher level than is used in the text. The Flesch Kincaid level places it within their band, even with the subject-specific vocabulary.
ss_annotator_3: While many of the sentences are simple the content is appropriate for the grade and therefore the sentences that are more challenging will be easy enough to comprehend for a fourth grader.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
964,8003,3,3.56,"Did you know that there are mountains two miles below the Arctic Ocean? Scientists are just starting to learn about them. But it isn’t easy.
Scientists can’t travel to this mountain range for three reasons. First, the Arctic Ocean is covered by a thick sheet of ice. Second, the mountains are so deep that divers and even submarines can’t travel there. And third, there is no light. The water is pitch-black.
How do scientists study this place? Special robots help them explore deep below the ocean.
Scientists drop the robots into the water through a hole in the ice. The robots travel to the bottom of the ocean. They take pictures and collect information. Hours later, they find their way back to the hole in the ice so the scientists can pick them up. And they do this all by themselves!
The scientists have learned a lot from the robots. They’ve learned that the mountains are volcanoes. The volcanoes erupt deep under the ocean.
Scientists have also found strange animals there. One is an octopus with flaps on its head. The flaps look like elephant ears.",slightly complex,"ss_annotator_1: This text consists of primarily simple and compound sentences. Of the 6 remaining complex sentences, only 2 have more than one concept, There are also only 4 subordinate/dependent phrases and 6 transition words. Most of the transition words are for sequencing (first, second, third, later), which students learn in second grade. The Flesch Kincaid level places the text within the 2nd-3rd grade text complexity band.
ss_annotator_2: This text structure is too simple for third and fourth. Although it gives a decent amount of content, each sentence only offers one concept. To increase the rigor, additional structure could offer more detailed aspects of the content to develop the depth of the passage. The transitions are very basic. This is the grade to begin enhancing transitional choices. Students appreciate a well developed sentence. These are boring.
ss_annotator_3: The majority of the sentences are either simple, or complex and only have one concept. They are easy for a third grader to comprehend.",slightly complex,"vocab_annotator_1: Students would be able to access the gist of this text with no to light scaffolds; vocab is not a barrier
 
vocab_annotator_2: This passage is very appropriate for third-graders, in that the sentence structure is easy to follow and the vocabulary is very understandable and explained well.
vocab_annotator_3: This passage seems to be in line with what the student can handle independently.","collect, erupt, explore, information, pitch-black, range, sheet, special, thick, volcanoes","arctic ocean, submarines, volcanoes",pitch-black,pitch-black.,"Students are likely familiar with ocean/sea exploration and the use of technology like robots for scientific research, but they may not be familiar with the specific challenges of exploring the Arctic Ocean or the concept of underwater volcanoes."
965,8003,4,3.56,"Did you know that there are mountains two miles below the Arctic Ocean? Scientists are just starting to learn about them. But it isn’t easy.
Scientists can’t travel to this mountain range for three reasons. First, the Arctic Ocean is covered by a thick sheet of ice. Second, the mountains are so deep that divers and even submarines can’t travel there. And third, there is no light. The water is pitch-black.
How do scientists study this place? Special robots help them explore deep below the ocean.
Scientists drop the robots into the water through a hole in the ice. The robots travel to the bottom of the ocean. They take pictures and collect information. Hours later, they find their way back to the hole in the ice so the scientists can pick them up. And they do this all by themselves!
The scientists have learned a lot from the robots. They’ve learned that the mountains are volcanoes. The volcanoes erupt deep under the ocean.
Scientists have also found strange animals there. One is an octopus with flaps on its head. The flaps look like elephant ears.",slightly complex,"ss_annotator_1: This text is too easy for third graders, so it is too easy for fourth graders. Fourth graders have learned to use subordinating and coordinating conjunctions and several different transition words/phrases that are more advanced than those used in this text. The Flesch Kincaid level places the text well below the 4th-5th grade text complexity band.
ss_annotator_2: This text structure is too simple for third and fourth. But especially for fourth for the same reasons- Although it gives a decent amount of content, each sentence only offers one concept. To increase the rigor, additional structure could offer more detailed aspects of the content to develop the depth of the passage. The transitions are very basic. This is the grade to begin enhancing transitional choices. Students appreciate a well developed sentence. These are boring.
ss_annotator_3: For the same reasons this is too easy for a third grader, it is also too easy for a fourth grader.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
966,8004,3,3.5,"You probably know that wind and water can shape Earth’s land. But did you know that glaciers can too?
Glaciers are made of ice. Ice is a solid. But glaciers are so large and heavy that they can flow like a river.
Glaciers are found on high mountains. It is cold there, so snow doesn’t melt. Instead, the snow piles up and gets squished together, forming ice. Over many years, the ice builds up and forms a glacier.
The glacier becomes so heavy that it slowly moves down the mountains. The glacier scrapes and shapes the mountains’ sides as it moves.
Glaciers are also found in the Arctic and in Antarctica. They press and grind the land below as they move.
Glaciers have shaped the world in surprising ways. Millions of years ago, glaciers covered the desert of South Africa. The glaciers slowly moved, scraping across the desert’s rocks. Today, we see flat, polished rocks and know that glaciers were once there.",moderately complex,"ss_annotator_1: The majority of sentences are simple or compound. Most of the sentences have one concept , and the ones that have multiple concepts only have 2. There are few subordinate/dependent clauses or transitions. The Flesch Kincaid level indicates that it is appropriate for the 2nd-3rd grade text complexity band. Third graders are accustomed to reading and writing simple, compound, and complex sentences and using linking words and phrases, such as the ones used in this text.
ss_annotator_2: This text structure is very uninspiring for a third grade. The sentences hava simple, repetitive structure. There a limited additional concepts to enhance the information. The paragraph structure makes it even more simple. Any form of complexity would be needed to increase the rigor.
ss_annotator_3: The majority of the sentences are simple which allows for comprehension. The sentences that contain multiple concepts are basic enough that third graders can comprehend.",slightly complex,"vocab_annotator_1: Students would be able to access the gist of this text with no to light scaffolds; vocab is not a barrier
 
vocab_annotator_2: This passage is very good for third-graders, in that it is not too murky, has explainable vocabulary, and concepts that are laid out simply.
vocab_annotator_3: Easy to follow for a 3rd grader","desert, flow, glaciers, grind, piles, polished, scrapes, solid, squished, surprising","antarctica, arctic, glaciers, grind",,"arctic and in antarctica, south africa","Students are likely familiar with the concept of weather and climate, as well as landforms and how they change, but may not be familiar with the specific role of glaciers in shaping Earth's land."
967,8004,4,3.5,"You probably know that wind and water can shape Earth’s land. But did you know that glaciers can too?
Glaciers are made of ice. Ice is a solid. But glaciers are so large and heavy that they can flow like a river.
Glaciers are found on high mountains. It is cold there, so snow doesn’t melt. Instead, the snow piles up and gets squished together, forming ice. Over many years, the ice builds up and forms a glacier.
The glacier becomes so heavy that it slowly moves down the mountains. The glacier scrapes and shapes the mountains’ sides as it moves.
Glaciers are also found in the Arctic and in Antarctica. They press and grind the land below as they move.
Glaciers have shaped the world in surprising ways. Millions of years ago, glaciers covered the desert of South Africa. The glaciers slowly moved, scraping across the desert’s rocks. Today, we see flat, polished rocks and know that glaciers were once there.",moderately complex,"ss_annotator_1: The readability of this text would be too simple for most fourth graders due to the fact that they have mastered more complicated structures in their writing, such as using coordinating and subordinating conjunctions and prepositional phrases.
ss_annotator_2: This would be almost insulting toa fourth grade. They are far more capable of sentence complexity- they want it! The facts are even simple, as there are no additional structures that add concepts. This is a second grade text.
ss_annotator_3: Fourth graders will be able to follow this passage and comprehend it with no support. The rigor of the passage is low and the majority of the sentences are simple.",not scored,not scored,not scored,not scored,not scored,not scored,not scored
